"","CCT_all","CCT_marker","stab_all","stab_marker"
"Mono",0.344736842105263,0.957894736842105,0.05,0.239473684210526
"B",0.568421052631579,0.642105263157895,0,0.221052631578947
"CD4_T",0.976315789473684,0.45,0.239473684210526,0.168421052631579
"CD8_T",1.01052631578947,0.0947368421052632,0.155263157894737,0.134210526315789
"NK",0.673684210526316,1.52631578947368,0.05,0.260526315789474
"DC",4.15789473684211,1.01052631578947,0.155263157894737,0.197368421052632
"other",0.842105263157895,0.515789473684211,0,0
"other_T",0.681578947368421,0.765789473684211,0.05,0.221052631578947
