"","CCT_all","CCT_marker","stab_all","stab_marker"
"Mono",0.568421052631579,1.69473684210526,0.0947368421052632,0.05
"B",0.260526315789474,1.09473684210526,0.0947368421052632,0.260526315789474
"CD4_T",0.892105263157895,0.515789473684211,0.239473684210526,0.0947368421052632
"CD8_T",0.344736842105263,0.221052631578947,0.252631578947368,0.0947368421052632
"NK",0.786842105263158,0.357894736842105,0.168421052631579,0
"DC",2.57631578947368,0.778947368421053,0.239473684210526,0.260526315789474
"other",0.723684210526316,0.765789473684211,0.197368421052632,0
"other_T",1.94473684210526,2.06315789473684,0.05,0.239473684210526
