"","CCT_all","CCT_marker","stab_all","stab_marker"
"Mono",0.681578947368421,0.555263157894737,0.239473684210526,0.134210526315789
"B",0.8,0.660526315789474,0.134210526315789,0.05
"CD4_T",0.936842105263158,0.471052631578947,0.168421052631579,0.155263157894737
"CD8_T",0.536842105263158,1.35789473684211,0.221052631578947,0
"NK",1.2,1.06315789473684,0.197368421052632,0.260526315789474
"DC",1.64210526315789,1.26315789473684,0.239473684210526,0
"other",0.618421052631579,0.555263157894737,0.0947368421052632,0.239473684210526
"other_T",1.14736842105263,0.660526315789474,0.197368421052632,0.05
