"","CCT_all","CCT_marker","stab_all","stab_marker"
"Mono",0.515789473684211,0.765789473684211,0.263157894736842,0.252631578947368
"B",0.555263157894737,0.344736842105263,0,0
"CD4_T",0.344736842105263,0.576315789473684,0.221052631578947,0.221052631578947
"CD8_T",0.936842105263158,0.368421052631579,0.155263157894737,0.239473684210526
"NK",0.681578947368421,0.765789473684211,0.263157894736842,0.239473684210526
"DC",1.50263157894737,0.976315789473684,0.263157894736842,0.168421052631579
"other",0.747368421052632,0.568421052631579,0.260526315789474,0
"other_T",1.57894736842105,0.892105263157895,0.197368421052632,0
